database,inat.id,date,latitude,longitude,morph.class
iNaturalist,88054,4/3/2012,47.65886059,-122.3185974,gray
iNaturalist,88169,5/29/2012,47.6569736,-122.3120723,gray
iNaturalist,88616,4/26/2012,47.65765795,-122.30464,gray
iNaturalist,89626,6/5/2012,28.16069763,-80.66125293,gray
iNaturalist,90249,6/9/2012,41.142654,-81.60762,melanic
iNaturalist,91497,8/13/2010,45.42461441,-75.70153828,gray
iNaturalist,92240,6/16/2012,38.78427481,-76.70261085,gray
iNaturalist,93151,6/15/2012,44.461767,-93.148296,gray
iNaturalist,94782,6/22/2012,41.30921,-81.3932729,gray
iNaturalist,97397,6/29/2012,37.76957403,-122.4669812,gray
iNaturalist,97837,6/30/2012,41.1108787,-81.4793428,melanic
iNaturalist,98658,7/2/2012,41.12851137,-81.43214744,gray
iNaturalist,99419,7/7/2012,41.1211278,-81.4941423,gray
iNaturalist,99498,7/6/2012,38.75600731,-77.1016751,gray
iNaturalist,99881,7/8/2012,33.549944,-81.7011179,gray
iNaturalist,100718,6/15/2012,44.688734,-93.136385,gray
iNaturalist,101432,7/13/2012,41.09179334,-81.51835113,gray
iNaturalist,101590,7/14/2012,40.05832916,-82.40159154,gray
iNaturalist,102223,7/15/2012,40.77193142,-73.97171932,gray
iNaturalist,103370,7/19/2012,42.366739,-71.069897,gray
iNaturalist,109955,8/5/2012,37.27460653,-122.2859165,gray
iNaturalist,110306,8/8/2012,39.32461638,-82.1022146,gray
iNaturalist,110771,8/9/2012,33.536123,-81.679802,gray
iNaturalist,116931,8/26/2012,42.858568,-70.954443,gray
iNaturalist,117056,11/9/2011,38.98717604,-77.05120683,gray
iNaturalist,117389,8/28/2012,45.032187,-93.3385614,gray
iNaturalist,119073,9/2/2012,37.98036039,-122.5567362,gray
iNaturalist,122845,9/14/2012,38.5575,-121.460333,gray
iNaturalist,123295,6/2/2012,37.36197126,-122.1844482,gray
iNaturalist,123432,7/1/2005,38.926449,-77.044289,melanic
iNaturalist,123433,8/9/2008,40.131577,-75.136246,gray
iNaturalist,124527,5/15/2012,33.99819483,-81.02833532,gray
iNaturalist,127326,9/20/2012,45.38166288,-75.69627284,melanic
iNaturalist,127391,9/26/2012,37.45970171,-122.2856666,gray
iNaturalist,128664,9/8/2012,37.2064423,-88.8447822,gray
iNaturalist,130355,7/14/2012,38.8927069,-77.03499251,gray
iNaturalist,133019,10/5/2012,37.248094,-121.9363083,gray
iNaturalist,133509,9/17/2012,37.248094,-121.9363083,gray
iNaturalist,136002,10/15/2012,36.98124129,-122.0239349,gray
iNaturalist,136110,10/16/2012,45.032187,-93.3385614,gray
iNaturalist,136361,4/25/2011,30.25643184,-88.10793489,gray
iNaturalist,136885,10/17/2012,36.9741171,-122.0307963,melanic
iNaturalist,137308,10/19/2012,38.75640813,-77.09978314,melanic
iNaturalist,141766,3/11/2007,42.385035,-71.149992,gray
iNaturalist,142317,9/9/2011,30.35638826,-88.11677814,gray
iNaturalist,143507,11/3/2012,38.99474288,-77.25300819,gray
iNaturalist,146612,11/11/2012,32.28633333,-81.876,gray
iNaturalist,148961,2/19/2008,28.3834813,-81.504811,gray
iNaturalist,149146,11/16/2012,41.6558224,-87.054932,gray
